OBJ_ID,BEG_TIME,PRODUCER_ID,DEV_TYPE,WORK_YEAR,Reliability
07EED32B-8284-4AC1-BECB-38E06708FADE-09517,01-12月-10 12.00.00.000000 上午,16B1117C-01D5-4FFF-B63A-0660FE150F13-00149,50101.0,8.0,0.9218905397506694
07EED32B-8284-4AC1-BECB-38E06708FADE-09519,01-12月-10 12.00.00.000000 上午,16B1117C-01D5-4FFF-B63A-0660FE150F13-00149,50101.0,8.0,0.9218905397506694
07EED32B-8284-4AC1-BECB-38E06708FADE-09521,01-12月-10 12.00.00.000000 上午,E34FC31E-8568-4FCB-ABA0-52307B2EE83B-00949,52571.0,8.0,0.9218905397506694
07EED32B-8284-4AC1-BECB-38E06708FADE-09523,01-12月-10 12.00.00.000000 上午,E34FC31E-8568-4FCB-ABA0-52307B2EE83B-00949,52571.0,8.0,0.9218905397506694
07EED32B-8284-4AC1-BECB-38E06708FADE-09531,01-12月-10 12.00.00.000000 上午,6986F7C5-7431-4D03-8026-2DBFFE3CC873-00146,52571.0,8.0,0.9218905397506694
07EED32B-8284-4AC1-BECB-38E06708FADE-09535,01-12月-10 12.00.00.000000 上午,16B1117C-01D5-4FFF-B63A-0660FE150F13-00149,50101.0,8.0,0.9218905397506694
07EED32B-8284-4AC1-BECB-38E06708FADE-09537,01-12月-10 12.00.00.000000 上午,16B1117C-01D5-4FFF-B63A-0660FE150F13-00149,50101.0,8.0,0.9218905397506694
07EED32B-8284-4AC1-BECB-38E06708FADE-09541,01-12月-10 12.00.00.000000 上午,16B1117C-01D5-4FFF-B63A-0660FE150F13-00149,50101.0,8.0,0.9218905397506694
07EED32B-8284-4AC1-BECB-38E06708FADE-09547,01-12月-10 12.00.00.000000 上午,6986F7C5-7431-4D03-8026-2DBFFE3CC873-00146,52571.0,8.0,0.9218905397506694
07EED32B-8284-4AC1-BECB-38E06708FADE-09567,12-5月 -10 12.00.00.000000 上午,6A1E2D31-22B7-4D1F-BAA6-845655558EB2-00034,50041.0,8.0,0.9218905397506694
07EED32B-8284-4AC1-BECB-38E06708FADE-09573,11-10月-13 12.00.00.000000 上午,1498C654-30BA-433E-8FF8-DAED962F9B53-00018,30630.0,5.0,0.9209698645945157
07EED32B-8284-4AC1-BECB-38E06708FADE-09581,11-10月-13 12.00.00.000000 上午,1498C654-30BA-433E-8FF8-DAED962F9B53-00018,30630.0,5.0,0.9209698645945157
07EED32B-8284-4AC1-BECB-38E06708FADE-09583,11-10月-13 12.00.00.000000 上午,1498C654-30BA-433E-8FF8-DAED962F9B53-00018,30611.0,5.0,0.9209698645945157
07EED32B-8284-4AC1-BECB-38E06708FADE-09585,11-10月-13 12.00.00.000000 上午,1498C654-30BA-433E-8FF8-DAED962F9B53-00018,30611.0,5.0,0.9209698645945157
07EED32B-8284-4AC1-BECB-38E06708FADE-09593,13-6月 -11 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-02062,50371.0,7.0,0.9264422388537383
07EED32B-8284-4AC1-BECB-38E06708FADE-09597,15-12月-06 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-00713,50111.0,12.0,0.9384932330180589
07EED32B-8284-4AC1-BECB-38E06708FADE-09607,24-7月 -12 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-01399,52561.0,6.0,0.9055237242956278
07EED32B-8284-4AC1-BECB-38E06708FADE-09619,20-2月 -13 12.00.00.000000 上午,6A1E2D31-22B7-4D1F-BAA6-845655558EB2-00034,50041.0,5.0,0.9209698645945157
07EED32B-8284-4AC1-BECB-38E06708FADE-09631,18-8月 -09 12.00.00.000000 上午,6A1E2D31-22B7-4D1F-BAA6-845655558EB2-00034,50041.0,9.0,0.9028711696116342
07EED32B-8284-4AC1-BECB-38E06708FADE-09636,15-7月 -08 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-00713,50111.0,10.0,0.9288551944470314
07EED32B-8284-4AC1-BECB-38E06708FADE-09642,12-11月-08 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-00713,50111.0,10.0,0.9288551944470314
07EED32B-8284-4AC1-BECB-38E06708FADE-09644,02-2月 -12 12.00.00.000000 上午,6EB3F71B-F1C4-4A94-94A5-8F54B2547B15-00059,20003.0,6.0,0.9055237242956278
