OBJ_ID,A_RESTYPE,A_RESOBJID,Z_RESTYPE,Z_RESOBJID,LENGTH,LINE_NUMBER,PRODUCER_ID,ALARM_NUM,ALARM_TIME,ALARM_TIME_NEW
26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-06954,10101,ABBCE1DA-52C4-4D51-83B7-9E88DFAC691A-00155,10101,26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-03600,11,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-07003,10101,26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-03600,10101,ABBCE1DA-52C4-4D51-83B7-9E88DFAC691A-00156,9,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-07052,10101,ABBCE1DA-52C4-4D51-83B7-9E88DFAC691A-00156,10101,26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-03601,17,24,744374CC-39B8-4C41-AAF8-82FC658B8ED5-00070,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-07101,10101,26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-03601,10101,0E0C8EAF-DAC6-4D46-860E-21CB7DB65C1C-00024,8,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-07199,10101,26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-03601,10101,0E0C8EAF-DAC6-4D46-860E-21CB7DB65C1C-00026,11,24,744374CC-39B8-4C41-AAF8-82FC658B8ED5-00070,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-07248,10101,0E0C8EAF-DAC6-4D46-860E-21CB7DB65C1C-00026,10101,26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-03596,11,24,744374CC-39B8-4C41-AAF8-82FC658B8ED5-00070,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-07297,10101,26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-03596,10101,0E0C8EAF-DAC6-4D46-860E-21CB7DB65C1C-00025,10,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-07346,10101,0E0C8EAF-DAC6-4D46-860E-21CB7DB65C1C-00025,10101,26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-03599,3,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-07444,10101,ABBCE1DA-52C4-4D51-83B7-9E88DFAC691A-00157,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00609,21,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-07493,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00609,10101,26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-03597,3,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-07542,10101,26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-03597,10101,26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-03602,2,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-08228,10101,ABBCE1DA-52C4-4D51-83B7-9E88DFAC691A-00179,10101,BD7173D5-6002-43AF-9C50-E32EF7FB682C-03222,26,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-08375,10101,ABBCE1DA-52C4-4D51-83B7-9E88DFAC691A-00176,10101,8B05259B-2B9C-4A83-B950-5DDB2AAF680C-40780,22,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-08816,10101,ABBCE1DA-52C4-4D51-83B7-9E88DFAC691A-00172,10101,26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-03625,0,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00254,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-08964,10101,ABBCE1DA-52C4-4D51-83B7-9E88DFAC691A-00174,10101,26ECD0C1-6368-4C48-9A6B-142A4AE5CF8C-03627,1,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00254,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
