NE_OBJ_ID,NE_NAME,DEV_TYPE_NAME,PRODUCER_NAME,PRODUCER_ID,WORK_YEAR,DEV_TYPE,ALARM_NUM,ALARM_TIME
1C4B3DEF-6AFF-47C4-874A-0BACD75F2881-07919,长新变OptiX OSN 2500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10014.0,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0]","[0, 0, 86433, 259606, 86619, 87318, 0, 0, 0, 1580342, 0, 248509, 90118, 0, 0]"
98BFFCCB-DBF0-4C15-AE98-84889A774128-14827,清水桥变OptiX OSN 3500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,3.0,10009.0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 0, 0, 1, 2, 0, 0]","[0, 0, 0, 259447, 86813, 87235, 90853, 870883, 3874089, 0, 0, 247904, 7905, 0, 0]"
D15168E8-A175-4B29-ACA7-F81E1776C558-01103,藤田变MatrixEdge2010,光传输设备,和记奥普泰,DF6CE9D8-2D25-4563-945D-1D62628E69FC-00499,4.0,16205.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79797215-0DB6-442E-9C71-9B0FCFB714FA-00014,九江柘电基地OptiX 2500+,,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,3.0,10011.0,"[0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 2303184, 0, 28148, 542578, 803684, 0, 0, 0, 0, 0]"
3465AB4D-5879-4277-9FAD-876226A6A626-14538,浮粱县调新大楼扩展ME2010,光传输设备,和记奥普泰,DF6CE9D8-2D25-4563-945D-1D62628E69FC-00499,2.0,16205.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 29683, 223727, 418, 0, 0, 0]"
DB5D5A6E-7332-4606-B98A-1E2ED9D20115-00004,吉安地调OSN 3500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10009.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]","[0, 13902540, 0, 0, 0, 0, 0, 0, 0, 579949, 0, 85269, 0, 40751, 0]"
DB5D5A6E-7332-4606-B98A-1E2ED9D20115-00029,五光变OSN 2500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10014.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 578196, 0, 350014, 0, 0, 0]"
EC13B12B-12EB-452C-8ECD-A252469007A2-00686,孝岗变OptiX OSN 3500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10009.0,"[0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 2303184, 0, 27443, 542485, 803619, 0, 138, 0, 0, 0]"
227DF4CE-7EDD-4C17-B72F-17E5C8C3F5C5-48751,罗坊变Metro2050,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,11.0,10019.0,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 2303184, 0, 27366, 0, 18435, 0, 0, 676424, 2004, 0]"
227DF4CE-7EDD-4C17-B72F-17E5C8C3F5C5-57369,玉山变Metro5000,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,11.0,10015.0,"[0, 1, 1, 0, 0, 1, 0, 2, 0, 2, 0, 1, 1, 1, 0]","[0, 1011042, 1699854, 0, 0, 2070727, 0, 28053, 0, 1865962, 0, 25233, 676424, 2004, 0]"
227DF4CE-7EDD-4C17-B72F-17E5C8C3F5C5-54940,塘山开关站Metro5000,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,11.0,10015.0,"[0, 0, 0, 0, 1, 1, 0, 4, 3, 2, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 210, 2070726, 0, 227342, 1814511, 526456, 0, 0, 676424, 2005, 0]"
