OBJ_ID,A_RESTYPE,A_RESOBJID,Z_RESTYPE,Z_RESOBJID,LENGTH,LINE_NUMBER,PRODUCER_ID,ALARM_NUM,ALARM_TIME,ALARM_TIME_NEW,NAME,FIBER_TYPE,LINE_NUMBER_USED
8254F6CE-E888-466D-8BE9-2D38AE506221-80495,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00641,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00636,5,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00292,,,,(110kV观丰变～萍乡供电公司)12芯普通光缆光缆段01,3,10
8254F6CE-E888-466D-8BE9-2D38AE506221-80569,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00641,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-77329,2,24,9DA924EA-D53E-40ED-A08A-F632CB0F29EB-00017,,,,(110kV观丰变～运维检修部)24芯ADSS光缆段01,2,20
8254F6CE-E888-466D-8BE9-2D38AE506221-80618,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00655,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00638,6,16,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00292,,,,(110kV河洲变～220kV泉田变)16芯OPGW光缆段01,1,2
8254F6CE-E888-466D-8BE9-2D38AE506221-80685,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00653,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00639,4,16,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00292,,,,(110kV姚家洲变～220kV湘东变)16芯OPGW光缆段01,1,12
8254F6CE-E888-466D-8BE9-2D38AE506221-80816,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-77330,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00655,2,16,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00292,,,,(湘东客户分中心～110kV河洲变)16芯普通光缆光缆段1,3,4
8254F6CE-E888-466D-8BE9-2D38AE506221-80849,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-77330,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00653,6,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00292,,,,(湘东客户分中心～110kV姚家洲变)24芯普通光缆光缆段1,3,2
826484A6-74A7-4385-8283-AC834E05D0C5-00042,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00249,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00248,18,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(35kV罗家变～35kV蛟潭变)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00067,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00249,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00252,16,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(35kV罗家变～35kV黄坛变)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00092,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00251,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00252,25,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(35kV樟树坑变～35kV黄坛变)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00117,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00251,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00248,21,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(35kV樟树坑变～35kV蛟潭变)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00142,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00248,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00247,13,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(35kV蛟潭变～35kV经公桥变)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00167,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00248,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00246,11,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(35kV蛟潭变～35kV峙滩变)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00192,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00246,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00247,26,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(35kV峙滩变～35kV经公桥变)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00217,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00253,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00250,8,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(35kV鹅湖变～35kV瑶里变)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00242,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00253,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00628,15,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00250,,,,(35kV鹅湖变～110kV大石口变)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00267,10101,0E0C8EAF-DAC6-4D46-860E-21CB7DB65C1C-00081,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00254,24,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00250,,,,(35kV柳家湾变～浮梁新县调)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00292,10101,826484A6-74A7-4385-8283-AC834E05D0C5-00001,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00248,3,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(蛟潭供电所～35kV蛟潭变)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00317,10101,826484A6-74A7-4385-8283-AC834E05D0C5-00003,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00249,2,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(罗家供电所～35kV罗家变)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00342,10101,826484A6-74A7-4385-8283-AC834E05D0C5-00004,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00247,6,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(经公桥供电所～35kV经公桥变)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00367,10101,826484A6-74A7-4385-8283-AC834E05D0C5-00006,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00253,4,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(鹅湖供电所～35kV鹅湖变)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00392,10101,826484A6-74A7-4385-8283-AC834E05D0C5-00002,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00254,8,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(湘湖供电所～浮梁新县调)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00417,10101,826484A6-74A7-4385-8283-AC834E05D0C5-00005,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00254,5,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(浮梁供电所～浮梁新县调)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00442,10101,826484A6-74A7-4385-8283-AC834E05D0C5-00010,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00254,9,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(三贤街营业厅～浮梁新县调)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00467,10101,826484A6-74A7-4385-8283-AC834E05D0C5-00017,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00254,11,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(新昌北路营业厅～浮梁新县调)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00492,10101,826484A6-74A7-4385-8283-AC834E05D0C5-00018,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00254,6,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(商贸街营业厅～浮梁新县调)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00517,10101,826484A6-74A7-4385-8283-AC834E05D0C5-00009,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00245,3,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00250,,,,(鱼山供电所～35kV鱼山变)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00542,10101,826484A6-74A7-4385-8283-AC834E05D0C5-00007,10101,8FBD2270-C307-4A6E-A067-CDBB156E6336-00244,5,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00250,,,,(吕枫供电所～昌江公司)12芯普通光缆光缆段01,3,0
826484A6-74A7-4385-8283-AC834E05D0C5-00567,10101,826484A6-74A7-4385-8283-AC834E05D0C5-00008,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00622,6,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00250,,,,(竟成供电所～220kV竟成变)12芯普通光缆光缆段01,3,0
